replication,seed,common_cause_transition_factor,status,objective_value,first_asset,max_failure_probability_at_maintenance
143,20260901,1.0847193700836402,OPTIMAL,189498.92433631924,104,0.5982551285857373
144,20260901,0.7153870347313873,OPTIMAL,142848.80731585983,104,0.4479620334725901
145,20260901,0.6629588866394105,OPTIMAL,136269.5686447176,104,0.4244375419458085
146,20260901,0.7543773009025799,OPTIMAL,147755.98584405755,104,0.46510395966501294
147,20260901,1.2692361041644575,OPTIMAL,212642.16342569725,104,0.6632203489044786
148,20260901,1.2104440111052783,OPTIMAL,205299.64048663885,104,0.6432526540102373
149,20260901,1.002326463630326,OPTIMAL,179094.5203631819,104,0.5670681218199227
150,20260901,0.9836252793066455,OPTIMAL,176729.83161236538,104,0.5598022025331494
151,20260901,1.379136443874883,OPTIMAL,226261.7909030139,104,0.6987100666494332
152,20260901,0.9465479937655947,OPTIMAL,172039.7239567964,104,0.5451918581066165
153,20260901,1.477586922128448,OPTIMAL,238320.31869246624,104,0.7284709542779124
154,20260901,1.0786309781199437,OPTIMAL,188731.10990967893,104,0.5959965842535697
155,20260901,0.9291302555338785,OPTIMAL,169836.0149428793,104,0.5382343803383132
156,20260901,0.8997523457283784,OPTIMAL,166119.11951185975,104,0.5263632929024422
157,20260901,1.1676597308791559,OPTIMAL,199935.95964666188,104,0.6282913493100127
158,20260901,1.218644783444881,OPTIMAL,206325.88096240017,104,0.6460789885149567
159,20260901,0.7602049731043007,OPTIMAL,148490.31663658994,104,0.467640208577282
160,20260901,1.4832966254432505,OPTIMAL,239014.98298865953,104,0.7301380607791784
161,20260901,0.5929758285573141,OPTIMAL,127505.18630944178,104,0.39218779002900606
162,20260901,1.0603870654502974,OPTIMAL,186429.2380565605,104,0.5891848771093445
163,20260901,1.5465278652634236,OPTIMAL,246670.60744591698,104,0.7481684754365503
164,20260901,0.6273925545730799,OPTIMAL,131821.48195733887,104,0.40816900671496553
165,20260901,0.9693554353391091,OPTIMAL,174924.98912168114,104,0.5542113859196001
166,20260901,1.0001694117521813,OPTIMAL,178821.8124479331,104,0.5662335825458402
167,20260901,0.55,OPTIMAL,121914.22307978652,104,0.37190282
168,20260901,1.0853092577024988,OPTIMAL,189573.3053935484,104,0.5984735626289668
169,20260901,1.022196219424222,OPTIMAL,181605.9621654934,104,0.5747121652939905
170,20260901,0.7559841059442943,OPTIMAL,147958.43434641627,104,0.46580392554001193
171,20260901,1.2358911241149757,OPTIMAL,208481.98336305108,104,0.6519793479762708
172,20260901,0.5660461375298932,OPTIMAL,124000.05972717813,104,0.37951953186770093
173,20260901,0.5573712377140125,OPTIMAL,122872.14235816625,104,0.3754081001374938
174,20260901,1.3554050692465303,OPTIMAL,223333.88535172722,104,0.6912490913180339
175,20260901,1.1128574132513775,OPTIMAL,193044.76783186247,104,0.6085978171821687
176,20260901,0.7554291348770309,OPTIMAL,147888.5092441445,104,0.4655622235840633
177,20260901,0.7952317801232187,OPTIMAL,152908.05217046355,104,0.48274243630573943
178,20260901,0.5954910307680636,OPTIMAL,127832.82665017595,104,0.3933636564945078
179,20260901,0.714157754443818,OPTIMAL,142694.2757499054,104,0.4474166886939874
180,20260901,0.6804919662988421,OPTIMAL,138467.05928716643,104,0.43236521815643486
181,20260901,1.1882120192492445,OPTIMAL,202514.46901794098,104,0.6355235620688234
182,20260901,0.8719191064485539,OPTIMAL,162598.38687609075,104,0.5149586834291773
183,20260901,0.8247793728808556,OPTIMAL,156639.33506660233,104,0.4952932802783869
184,20260901,1.2029613789853209,OPTIMAL,204362.72637214785,104,0.640662199413975
185,20260901,1.0962379559784101,OPTIMAL,190951.0008536969,104,0.602507968276925
186,20260901,1.357294629561949,OPTIMAL,223567.29366594765,104,0.6918472428285535
187,20260901,0.6361961210536333,OPTIMAL,132921.23007056612,104,0.4122192132445188
188,20260901,1.4371717368019306,OPTIMAL,233388.12950483983,104,0.7164860080680903
189,20260901,1.1058872364237615,OPTIMAL,192166.84587843876,104,0.6060504037958219
190,20260901,0.8740041354613232,OPTIMAL,162862.08788386823,104,0.5158183361570986
191,20260901,1.2745861548333737,OPTIMAL,213308.54117433945,104,0.6650034148295758
192,20260901,1.6810384467657946,OPTIMAL,262707.1965226855,104,0.7838901348680681
193,20260901,0.9555595953291792,OPTIMAL,173179.8074639285,104,0.5487679362918078
194,20260901,0.949907895405071,OPTIMAL,172464.8028353642,104,0.5465270500251992
195,20260901,0.8882384498673532,OPTIMAL,164662.5509708432,104,0.5216641070625196
196,20260901,0.574154832371027,OPTIMAL,125054.90370557652,104,0.3833491356008707
197,20260901,1.444918375983619,OPTIMAL,234335.52637829236,104,0.718808302161731
198,20260901,1.1793963351253254,OPTIMAL,201408.87211478548,104,0.6324316282770528
199,20260901,1.1432254899294407,OPTIMAL,196866.08180235312,104,0.6195842462804257
